0,"['Wall Street is hoping for another strong year after stocks in 2019 had its best return in six years.', 'The technology-heavy NASDAQ index led the way with a 35 percent gain while the S&P 500 was up 29 percent and the Dow Jones Industrials gained 22 percent.', 'US stocks added $5.9 trillion in value last year while overall, world stock markets gained $17 trillion.', ""The market's gains could be good news for President Trump as well as stocks were up more than twice as much as they normally are during a president's first three years."", 'Global shares rose Thursday on optimism about a US-China trade deal. Trump says the US and China will sign the deal in two weeks.', 'The New York Times reports the president says the two countries will sign a ""very large and comprehensive"" trade agreement at the White House on Jan. 15.', ""The newspaper goes on to say that the signing would make official trade peace between the world's two biggest economies."", 'Washington and Beijing announced last month that they reached an agreement over a ""Phase 1"" trade deal that calls for the US to reduce tariffs and China to buy larger quantities of US farm products.', 'The president tweeted: ""At a later date I will be going to Beijing where talks will begin on phase two!""', 'Submitted by escamp on August 31, 2015 - 3:04pm', 'Stay informed with the latest from CBN News delivered to your inbox.']"
1,"['Wall Street investors are looking to finish the year with a bang as stocks continue to set new records.', 'The Dow Jones Industrials closed over 28,600 on the day after Christmas. And the Nasdaq Composite - which is led by technology stocks - closed over 9,000 for the first time ever.', 'The S&P500 is headed toward its best year since 1997.', 'Some analysts caution that stocks could face a short-term correction early next year.', 'But many experts believe the market is on track to more records next year with the Dow possibly reaching 30,000.', ""And there's another good sign for the economy, as online holiday shopping sales set a new record this year."", 'Mastercard reports that online purchases were up nearly 19 percent over a year ago.', ""It's a reflection of the growing trend of more people doing their Christmas shopping online."", 'And overall, retail sales were up around three and a half percent from last year. ', 'Submitted by escamp on August 31, 2015 - 3:04pm', 'Stay informed with the latest from CBN News delivered to your inbox.']"
2,"[""You've overspent during past holiday seasons, but you're determined not to let it happen this year. What's your plan to prevent painful post-holiday bills? A study from Elevate's Center for the New Middle Class  may be able to help."", 'The study focused on holiday spending behavior and how it varies depending on credit scores. CNMC separated the data into two levels – prime consumers with credit scores of 700 or above and non-prime consumers with credit scores below 700 . You can check your credit score and read your credit report for free within minutes byjoining MoneyTips.', 'As you might expect, prime consumers spent more on all holiday categories, including gifts , travel , meals , and decorations . Prime consumers averaged $172 in charitable contributions over the holidays, but non-prime consumers still managed to average $52 in charitable giving even with a limited budget.', '""Budget"" is the keyword to prevent overspending, especially with non-prime consumers. While 39% of non-prime consumers with a plan overspent, only 24% did when the plan was converted into a strict budget. Non-prime consumers with a strict budget were 56% more likely to have improved finances compared to those with no budget at all. Prime consumers saw the same improvements but to a lesser extent.', ""It's too easy to deviate from a flexible plan compared to a rigid budget – especially when you are tempted by holiday sales. Non-prime consumers who shopped sales were more likely to overspend compared to those who avoided sales . Prime consumers who shopped sales were similarly prone to overspending ."", 'Surprisingly, coupon use also correlated to overspending. Non-prime coupon shoppers were more likely to overspend than those who avoided coupons , while the difference with prime consumers was 41% to 32%.', ""How can you avoid overspending, especially if you're part of the New Middle Class? The CNMC study offers a few suggestions."", ""The study reinforces the importance of a budget, especially for non-prime consumers who don't have the cushion to avoid overspending. Create a realisticholiday budgetbased on your income and total expenses. Use the budget to create a specific gift list and assign spending limits for each person. One-quarter of non-prime consumers and 31% of prime consumers saved money this way."", ""Do online research and comparison-shop to find the best deals, but don't be lured by sales and coupon offers for items that aren't on your list. Stores are counting on you to overspend, and thesurveysuggests non-prime shoppers are more susceptible to sales pitches. Perhaps it's easier to think you're saving more money on sale items when you have less money to spend."", ""Track your spending to verify you're sticking to your budget. Two in five non-prime consumers and 38% of prime consumers tracked spending to stay in control of their holiday budget."", 'If unexpected expenses strike during the holidays, adjust your budget to match. That might be simple for prime consumers, but the New Middle Class will probably assume extra debt to deal with unpleasant financial surprises. Adjust your holiday budget to minimize the debt .Homemade giftscan help you scale back expenses, as they did for 9% of prime consumers and 12% of non-prime consumers.', 'In short, you can prevent overspending with a solid budget and the willpower to stick to it. Ignore the siren song of holiday sales and special deals. Instead, enjoy the satisfaction of a holiday with improved finances.', ""Don't let identity theft stress you out this holiday season. You can check your credit score and read your credit report for free within minutes byjoining MoneyTips."", 'This article was provided by our partners at moneytips.com.', '9 Scams To Watch Out For This Holiday Season', 'How Does Amazon Pay For Free Shipping?', '8 Quick Fixes For A Safer Home This Holiday Season', 'Submitted by escamp on August 31, 2015 - 3:04pm', 'Stay informed with the latest from CBN News delivered to your inbox.']"
3,"['Financial markets globally and in the US are looking up.The DOW, S&P 500, and NASDAQ hit record-closing highs Tuesday as a stock rally extended into five straight sessions.', ""Analysts point to good news on the trade front too. Last week the US House of Representatives approved the President's trade agreement with Mexico and Canada. This week, the US and China reached a deal in the first phase of an ongoing, contentious trade negotiation."", 'That news calmed jittery investors anxious about the future.', '""The markets have really improved since there was a tentative deal rumored and now announced,"" said Regent University\'s Andrew Root. ""China is our largest single trading partner so reducing uncertainty with China will improve the economic growth overall because of exports to China.""', 'White House Economic Adviser Larry Kudlow says the agreement is all about economic growth and securing a healthy economy in 2020.', '""We are going to double, we are going to double U.S. exports,"" Kudlow told reporters. ""The positive effects on economic growth in this country cannot be exaggerated. That\'s why I keep calling this growthier. And that\'s why I think in addition to lowering the tempers and putting some more certainty into it, I think you\'re gonna get a very good business year out of this.""', ""Another factor affecting global markets is the conservative party's huge win in the parliamentary elections, virtually ending all doubt that Britain will withdraw from the European Union."", '""The UK election happened. It was a clear majority for Boris Johnson\'s government. That reduces policy uncertainty as well,"" explained Root.  ', 'In another sign of a healthy US economy, consumers are confident, spending big bucks this Christmas season. The national retail federation predicting total holiday sales could hit $730 billion.', 'Dan Celia of the radio show Financial Issues told CBN News that news is better than what many expected, and it will have a long-term impact on the economy.', '""We have to go back to at least 16 years to see the kind of optimism that we had this Christmas season,"" said Celia.  ""It\'s unbelievable. You can see that through consumer income, savings rates, spending. It has been extremely high all this year leading up to Black Friday. So, it only stands to reason that that optimism is going to continue.""', 'What could potentially drag down this economy is the ever-growing federal deficit. Former Federal Reserve Chair Alan Greenspan predicts inflation will rise as the deficit is on track to hit more than $1 trillion.', 'Submitted by escamp on August 31, 2015 - 3:04pm', 'Stay informed with the latest from CBN News delivered to your inbox.']"
4,"['Markets appear to be responding to the positive trade news coming out of Washington.', ""The S&P 500, Dow, and Nasdaq all closed at record highs Monday. This came on the news of the US reaching a Phase One trade agreement with China this week along with last week's announcement that the House of Representatives finally approved President Trump's USMCA trade agreement between the US, Mexico, and Canada.\n\nStock watchers also point to individual stocks reaching new altitudes as an indication that the market will continue to go up."", ""One potential drag on the economy could be Boeing's decision Monday to halt production of its 737 Max airplane. The halt will take place at Boeing's plant that employs 12,000 people in Renton, Washington, near Seattle."", 'The company says no layoffs are planned, but the impact will still be felt in the broader airline and aerospace industries that ordered the aircraft. Suppliers of Boeing could need to scale back as a result.', 'The Boeing halt could hurt US GDP as well since it\'s such a large company. ""This is the country\'s biggest single manufactured export product,"" explains Richard Aboulafia, an aircraft industry analyst at the Teal Group.', ""The Max, which is Boeing's most important jet, has been grounded since March after crashes in Indonesia and Ethiopia that killed 346 people. Investigators have said problems with the 737 Max's flight control software contributed to the crashes."", 'The company is trying to earn permission from the US Federal Aviation Administration and other global regulators to fly the planes again, but that appears to be taking much longer than Boeing initially thought it would take.', '', '', 'Submitted by escamp on August 31, 2015 - 3:04pm', 'Stay informed with the latest from CBN News delivered to your inbox.']"
5,"[""Are you a procrastinator who hasn't started your holiday shopping yet? If not, are you still hunting for deals even after Black Friday, Small Business Saturday, Cyber Monday and Green Monday? In any case, you still want to take advantage of online bargains and free shipping offers."", 'You\'re in luck, thanks to Free Shipping Day on Saturday, December 14. Luke Knowles, the founder of Free Shipping Day and the corresponding websiteFreeShippingDay.comsays that he created the holiday ten years ago ""to cater to procrastinating shoppers like myself.""', 'Prior to Free Shipping Day, consumers tended to stop online shopping in early December, worrying that if they waited any longer their packages might not arrive on time. Knowles knew that retailers were capable of economically delivering mid-December orders by Christmas Eve, and created an annual event that allows retailers to extend online sales and promote new deals while giving consumers more opportunities for late bargains.', 'Consumers quickly recognized the inherent value. By 2010, online sales on Free Shipping Day had already surpassed those of Black Friday by $294 million. The following year, online sales broke $1 billion.', 'According to Knowles, ""The event simplifies the process ofholiday shopping, giving people the chance to order gifts online late in the season and receive them in time for the holidays without paying any delivery fees.""', ""Offers from participating merchants will go live on FreeShippingDay.com at 12:01 am Eastern Time and will continue until 11:59 pm. Over 1,000 retailers are expected to participate, including major retail participants such as Kohl's, JCPenney, and Target as well as specialty retail outlets."", 'To participate in Free Shipping Day, a merchant must agree to offer free shipping without a minimum purchase amount for a promised delivery date before Christmas Eve. Offers apply to in-stock, ready-to-ship items. Many of the participating merchants offer free shipping on all items, and some offer special deals just for the occasion.', 'How to Get the Most Out Of Free Shipping Day', ""What's the best way to take advantage of this opportunity? We offer nine tips to assist you in your search for late bargains."", ""1. Scout Out Your Purchases Beforehand –As much fun as it is to browse sites looking for bargains, it's best to go into the holiday with a shopping list and a good idea of which participating retailers are likely to have your preferred items. If you don't have a list, at least review your favorite participating sites a day or two before Free Shipping Day to narrow down the possibilities."", '2. Check the FreeShippingDay.com Website Regularly –If you don\'t see your favorite store listed yet, don\'t give up. Some retailers like to reveal their participation and deals at the last minute. According to Knowles, ""We typically add merchants up until the site switches over, so check back frequently to see if your favorite stores are participating!""', ""3. Stick to your Budget –Impulse buying and overspending undercuts the advantages of Free Shipping Day. If you charge so much that you have tocarry an increased balance on your credit cardover to the next month, extra Interest charges can easily erase the savings from free shipping. Try to outline your budget constraints before the holiday begins and have the discipline to stick to them – but if you can't, at least consider credit card interest charges as you make your decision. If you want more credit, check out our list ofcredit card offers."", ""4. Verify Free Shipping Status –Not all merchants are offering free shipping on all items. It's important for you to verify that the item or items you want all qualify for free shipping before you make the final click of approval."", '5. Comparison Shop –Free shipping is not a bargain if the same item is available at another vendor for a low enough price to compensate. Shop around prior to the holiday in order to identify and take advantage of the best deals possible.', '6. Look for Corresponding Coupons –FreeShippingDay.com not only provides free shipping offers, they also offer coupons and special deals for various products from the participating merchants. You may be able to increase your savings beyond the shipping costs.', '7. Check Store Return Policies –Look over the return policy of each retailer before your final purchase to make sure that you understand the return/refund options for any item, especially if discounts or coupons are involved. Note that FreeShippingDay.com does not participate directly in any transaction, and therefore has no role to play regarding returns and refunds.', '8. Send Your Shipments to a Safe Place –Every year, thieves follow behind delivery trucks and steal packages from doorsteps and patios while the recipients are at work and unable to receive the package. Consider having your packages shipped to a safe location – your work, if they allow it, or to a designated neighbor or relative who can receive the packages directly.', '9. Get Free Shipping Every Day with Amazon– In previous years, Amazon offered free shipping on holiday orders of $25 or more. In 2018, for the first time, Amazon offered free shipping on all holiday orders to all U.S. customers, without a minimum spending requirement. This year, the same offer applies until December 18. Of course, Amazon Prime members get free shipping and rapid delivery year-round – for an annual membership fee of $119. In 2019, free delivery for Amazon Prime members also includes one-day delivery and same-day delivery on many items.', 'Free Shipping Day offers procrastinators and bargain shoppers a last chance to enjoy free shipping on Christmas gifts while incorporating potential bargains throughout the process. Take advantage of this day to complete your holiday purchases – or, if you are a procrastinator, to start them.', ""Don't let identity theft stress you out this holiday season. You can check your credit score and read your credit report for free within minutes byjoining MoneyTips."", 'Submitted by escamp on August 31, 2015 - 3:04pm', 'Stay informed with the latest from CBN News delivered to your inbox.']"
6,"[""WASHINGTON  - President Donald Trump said Friday that the U.S. has canceled plans to impose new tariffs on $160 billion worth of Chinese imports Sunday as part of a modest interim agreement that de-escalates a 17-month trade war between the world's two biggest economies."", 'The United States is also reducing existing import taxes on about $112 billion in Chinese goods from 15% to 7.5%', 'In return, Trump said on Twitter, the Chinese have agreed to ""massive\'\' purchases of American farm and manufactured products as part of a so-called Phase 1 deal. The office of Trump\'s trade representative said China had consented to ""structural reforms\'\' that would improve intellectual property protection and curb the practice of forcing foreign companies to hand over technology as the price of admission to the Chinese market. But it offered no details, and business groups said more needed to be done to combat Beijing\'s aggressive trade practices.', '“This deal should go a long way in reversing the downward spiral in bilateral trade relations and increasing certainty for U.S. businesses,"" said Wendy Cutler, a former U.S. trade negotiator who is now vice president at the Asia Society Policy Institute. But, she said, ""it’s unclear on how far the Phase 1 agreement goes in addressing the key structural issues that brought the U.S. to the negotiating table 17 months ago.\'\'', 'Trump’s announcement came minutes after the House Judiciary Committee approved impeachment charges of abuse of power and obstruction of Congress, leading the White House to argue that the president “never stops working and continues to make successful deals that benefit this country.”', 'Chinese officials said at a briefing in Beijing Friday that if Washington reduces the tariffs, China will lower its trade penalties on American goods and also scrap plans for new tariffs Sunday.', ""Trump told reporters at the White House that Chinese farm purchases would hit $50 billion. China's deputy finance minister Liao Min said “China is ready to work with the U.S. side to do more to promote growth in trade'' but would not confirm the $50 billion figure. U.S. farm exports to China have never topped $26 billion a year."", 'The deal announced Friday leaves unresolved some of the thorniest issues. But Trump said work on a follow-up would begin ""immediately, rather than waiting until after the 2020 Election. This is an amazing deal for all. Thank you!\'\'', ""Friday's announcement was a long time coming. Trump first announced a Phase 1 deal on Oct. 11, but negotiations on a final version continued for two months."", 'Financial markets rallied in Asia on hopes for reduced trade tension. But stocks were down modestly in early trading on Wall Street.', 'The administration accuses China of cheating in its drive to develop advanced technologies as driverless cars and artificial intelligence. The administration alleges, and independent analysts generally agree, that China steals technology, forces foreign companies to hand over trade secrets, unfairly subsidizes its own firms and throws up bureaucratic hurdles for foreign rivals.', 'Beijing rejects the accusations and contends that Washington is simply trying to suppress a rising competitor in international trade.', 'Since July 2018, the Trump administration has imposed a bewildering series of trade sanctions on China, sometimes changing or delaying planned tariff rates.', ""Friday's announcement means that the U.S. will continue to levy 25% import taxes on $250 billion in Chinese goods and will halve the tariffs on another $112 billion to 7.5%. It will drop plans to target an additional $160 billion. That step would have extended the tariffs to just about everything China sells the United States and would have hit consumer items such as toys and smartphones that have so far largely been spared."", ""Beijing has retaliated by taxing $120 billion in U.S. exports, including soybeans and other farm products that are vital to many of Trump's supporters in rural America."", 'Rob Atkinson, president of the Information Technology and Innovation Foundation, said “the agreement represents progress\'\' but said ""the United States must still comprehensively address China\'s rampant innovation mercantilist practices.\'\'', ""Mary Lovely, a trade economist at the Peterson Institute for International Economics, said it is unlikely that Friday's deal delivers enough benefits for the U.S. to outweigh the costs of the trade fight so far."", 'U.S. farmers lost billions of dollars in income, companies paid billions in tariffs and in many cases shifted their supply chains, and consumers saw some prices increase. ""Many of us are highly skeptical that the agreement will be enough to outweigh these other costs,"" Lovely said. ""The U.S. didn\'t move the needle very much.""', 'Still, the agreement should help smooth some of the uncertainty surrounding global trade, Lovely said. ""We have a cease-fire, we have some roll back, that is very significant,"" she said. “We were kind of on a brink here, and we saw the negotiators pull us back.”', ""Repeated rounds of negotiations had failed to achieve a substantive deal. The prolonged uncertainty over Trump's trade policies has curtailed U.S. business investment and likely held back economic growth. Many corporations have slowed or suspended investment plans until they know when, how or even whether the trade standoff will end."", ""A far-reaching agreement on China's technology policies will likely prove difficult. It would require Beijing to scale back its drive to become a global powerhouse in industrial high technology, something it sees as a path to prosperity and international influence."", '“This deal would amount to a modest de-escalation of trade hostilities but hardly resolves the fundamental trade and economic tensions that are dampening business sentiment and investment in both countries,"" said Eswar Prasad, an economist at Cornell University and former head of the International Monetary Fund\'s China division. “It is a promising sign that the two sides are talking and making progress on resolving their differences. But the elements left for Phase 2 of the trade talks are far thornier.\'\'', 'Efforts to acquire foreign technology are a theme that runs through Chinese law and government. Security researchers have asserted that Beijing operates a network of research institutes and business parks to turn stolen foreign technology into commercial products.', 'The Trump administration has been seeking a way to enforce any significant trade agreement with China, reflecting its contention that Beijing has violated past promises. One way to do is to retain some tariffs as leverage.', 'Copyright 2019 The Associated Press. All rights reserved.', '', 'Submitted by escamp on August 31, 2015 - 3:04pm', 'Stay informed with the latest from CBN News delivered to your inbox.']"
7,"['WASHINGTON  - Chairman Jerome Powell made clear Wednesday that the Federal Reserve is prepared to keep its benchmark interest rate very low through at least next year - and possibly longer.', ""Fueling that expectation is the growing belief of Fed officials that inflation will remain tame even as the economy keeps growing modestly and the job market remains solid. The lowest unemployment rate in a half-century - 3.5% - won't necessarily fan high inflation as it might have in the past, Powell suggested at a news conference."", ""On Wednesday, the Fed left its key short-term rate in a low range of 1.5% to 1.75% after having reduced it three times this year. Powell had previously characterized those rate cuts as “insurance” that would offset the drags from the U.S.-China trade war and global slowdown. But on Wednesday, he boldly suggested that the Fed wouldn't likely reverse those cuts for the foreseeable future."", '“Inflation is barely moving up, notwithstanding that unemployment is at 50-year lows and expected to remain there,” Powell said at his news conference. “We have learned that unemployment can remain at quite low levels for an extended period of time without unwanted upward pressure on inflation.”', ""In a further sign of its confidence, the Fed's latest policy statement dropped a phrase it had previously used that referred to “uncertainties” surrounding the economic outlook. This change suggested that the Fed is now less worried about economic risks from trade fights or global slowdown."", ""With the Fed's key rate likely to stay where it is, consumers interested in buying a home or car should continue to enjoy low borrowing costs. Businesses will likely also enjoy lower interest rates. Savers, though, will struggle to earn a return above the inflation rate."", 'Powell signaled that persistently low inflation is allowing the Fed to pursue low-interest rates, or “accommodative,” policies to sustain the 11-year economic expansion and try to create the conditions for more people to find jobs.', '“Even though we are at 3½% unemployment, there is actually more slack out there in a sense,” Powell said. “And the risks of using accommodative monetary policy, our tool, to explore that, are relatively low.”', ""The chairman expressed optimism about the economy and satisfaction that the Fed's rate cuts this year may have helped prolong growth."", '“Both the economy and monetary policy are in a good place,” he said.', 'Many analysts note, though, that the economy faces threats from the trade conflicts, a stumbling manufacturing sector and cutbacks in business investment. Some say the Fed may feel compelled to cut rates at least once next year.', 'Still, in updated forecasts the Fed issued Wednesday, no officials penciled in a rate cut in 2020. Instead, four Fed officials said they expected a rate increase next year. The remaining 13 officials projected no change to rates.', '“If I were Powell, I would say I have things exactly where I want them,” said David Jones, an economist and author of five books on the Fed. “Despite all the people who criticized Powell for not easing sooner or not easing more, it looks like this mid-course correction of three rate cuts was almost perfect in keeping the economy growing on a sustained basis.”', ""For now, the chairman has managed to draw his colleagues on the Fed's policymaking committee fully into his corner. No Fed officials dissented from Wednesday's decision to keep rates unchanged - the first time in five meetings that a vote was unanimous."", ""Powell has suggested that this year's rate cuts have helped lower mortgage rates and spurred growth in home purchases. Auto sales have also remained healthy as more Americans have borrowed to buy cars."", ""Still, Powell's satisfaction with the Fed's policies comes after the central bank executed a U-turn this year. The Fed raised its benchmark short-term rate four times in 2018 after growth began the year at a healthy pace. But as the trade conflicts intensified, the stock market fell at year's end and inflation slowed rather than picked up as expected, the Fed reversed course and cut rates three times."", ""“Toward the end of 2018, there was still a sense that the economy was growing at around 3%, and it didn't,” he said. “I didn't expect to face the challenges, but I think we did face them, and I'm pleased that we moved to support the economy in the way that we did."", ""Fed policymakers have been weighing their options to stabilize short-term lending in money markets. In late September, overnight lending markets seized up, and banks and other financial institutions struggled to find short-term loans. This problem briefly lifted the Fed's benchmark rate out of its target range."", ""Powell said that the Fed's efforts to boost banks' cash reserves by purchasing Treasury bills and its own short-term lending have been effective."", '“For the last couple of months,  markets have been functioning well,” he said.', 'In the longer run, Powell said that the Fed is considering “fairly straightforward, noncontroversial changes"" to financial regulations to make it easier for large banks to provide short-term loans.', 'Copyright 2019 The Associated Press. All rights reserved.', 'Submitted by escamp on August 31, 2015 - 3:04pm', 'Stay informed with the latest from CBN News delivered to your inbox.']"
8,"['Holidays are supposed to be a joyous time – but scammers can replace the joy of the season with the headaches of fraud. Help yourself and take some simple precautions to keep the Grinches out of your bank accounts during the holidays.', 'It is more difficult to verify on a smartphone that you are connecting to a legitimate site, and more tempting to use convenient links that could redirect you. Per the above suggestions, type in the correct URL in the browser. If you are connecting through retailer apps, verify that the app is valid.', '\tPopular ones include the personalized letter from Santa to your child, solicitations from unknown third parties that offer gift cards or discounts in exchange for taking a survey, and fake renewal requests for things like insurance coverage.', '', '\tPlease support your favoritecharities, but thoroughly vet any new charities that ask for your money. Legitimate charities will be happy to answer your questions.', '', '', '\tBefore you order from a website, verify both that the company is legitimate and that you have not been directed to a spoof of their website. Do not use external links; enter the correct company URL in your browser. Look for ""https"" in the header – the ""s"" reflects a secure web page.\n\t', 'We hope that these tips can protect your personal information and keep you safe from the evil schemes of the holiday Grinches. They are mean ones, those Grinches. Don’t touch them, even with a thirty-nine-and-a-half-foot pole. Happy holidays!', 'Protect your credit – protect your identity – protect yourself with afree MoneyTips trial.', 'This article was provided by our partners at moneytips.com.', 'How To Avoid Overspending This Holiday Season', '9 Scams To Watch Out For This Holiday Season', 'How Does Amazon Pay For Free Shipping?', 'Submitted by escamp on August 31, 2015 - 3:04pm', 'Stay informed with the latest from CBN News delivered to your inbox.']"
9,"['WASHINGTON  - Hiring in the United States jumped last month to its highest level since January as U.S. employers shrugged off trade conflicts and a global slowdown and added 266,000 jobs.', 'The unemployment rate dipped to 3.5% from 3.6% in October, matching a half-century low, the Labor Department reported Friday. And wages rose a solid 3.1% in November compared with a year earlier.', 'Stock futures surged on the unexpectedly strong jobs report.', 'November’s healthy job gain runs against a widespread view that many employers are either delaying hiring until a breakthrough in the U.S.-China trade war is reached or are struggling to find workers with unemployment so low. The pace of hiring points to the resilience of the job market and economy more than a decade into the U.S. economic expansion - the longest on record.', 'Copyright 2019 The Associated Press\n', 'Submitted by escamp on August 31, 2015 - 3:04pm', 'Stay informed with the latest from CBN News delivered to your inbox.']"
